Name,Address,City,State,Zipcode,Phone,Url,Description,Rating,Rate Count,Price,YelpID,Lat,Lng
Buona Forchetta ,250 N Coast Hwy 101,Encinitas,CA,92024,(760) 704-8070,,"North County finally has a Buona Forchetta of its own. Diners who for years have trekked to the original South Park location are now thrilled to not have to travel far to visit the popular Italian restaurant. The cozy space on Highway 101 serves all its best-selling pizza and pasta, plus gluten-free options, as well as some new seafood-based dishes.",5.0,49,,aRacnEURw6oTkrijdeUZXA,33.05359,-117.29659
CHIKO,101 N Coast Hwy 101,Encinitas,CA,92024,(760) 230-1076,http://chikoca.com/,"Diners are lining up to try this certified hit from Washington, D.C. that recently landed in North County. Serving a casual and playful menu grounded in Chinese and Korean cuisine, with favorites like “orange-ish chicken” and soy-glazed chopped brisket, the East Coast transplant will soon be rolling out other popular features including an indulgent tasting menu and late night guest chef collaborations.   i",4.5,36,,CfT-9koHkFvmdOJiUeENSA,33.05006,-117.29416
Menya Ultra Ramen Mira Mesa,8141,San Diego,CA,92126,,http://menya-ultra.com/,The second outpost of this standout ramen shop should either help to alleviate the crowds at its flagship Kearny Mesa location or just earn the eatery even more fans willing to line up for its impeccable ramen and freshly-made noodles. The Mira Mesa spot offers a few additional seats and will be featuring new menu items soon. ,4.5,83,,uJbBxJnGhXkAXtLCmxrszg,32.9112446910774,-117.148219498148
Din Tai Fung,4301 La Jolla Village Dr #2000,San Diego,CA,92122,(858) 375-9888,http://dintaifungusa.com/,"The world renowned eatery has finally landed in San Diego, where its new outpost at Westfield UTC is already drawing crowds for its handmade dumplings, from pork and crab xiao long bao to shrimp and pork potstickers. ",4.5,477,,a3yfBL2Nlm6Z6-1Yzl4ncw,32.8724184,-117.213775
Hidden Fish,4764 Convoy St ste a,San Diego,CA,92111,(858) 210-5056,http://www.hiddenfishsushi.com/,"Convoy’s newest eatery specializes in sushi on a deadline, setting 30 and 90 minute timelines for diners to polish off 12 and 18-course meals of chef’s choice nigiri made with fresh local seafood and a fish sourced from Tokyo’s famed Tsujiki Market. ",4.5,84,,MnsAeUTv-t3bNqF4DJIrEw,32.82841,-117.15385
Bonchon ,4690 Convoy St,San Diego,CA,92111,,https://bonchon.com/korean-fried-chicken-convoy-ca/,"Founded in South Korea and popular worldwide, with more than 200 stores in nine states, Bonchon has arrived in Kearny Mesa (next up is Chula Vista and San Marcos). The clamoring crowds are already addicted to its exemplary Korean-style fried chicken, twice-fried for extreme crunch and glazed with soy-garlic or spicy sauce. There are other Korean and Asian dishes here, but the chicken is the star. ",3.5,57,,9sqn-GW1hXjQy4g3g7oOwA,32.82665,-117.15581
Wayfarer Bread & Pastry,5525 La Jolla Blvd,La Jolla,CA,92037,,http://www.wayfarerbread.com/,"Fans already know to show up early to this new Bird Rock bakery, before its delectable, handmade baked goods sell out for the day. Made in small batches, they include morning buns, scones, croissants, baguettes, and rustic loaves. ",4.5,94,2,l-t2wjc6WttWflFcELRR9A,32.81302,-117.26841
Good Time Poke/The Grass Skirt,910 Grand Ave,San Diego,CA,92109,(858) 412-5237,http://www.thegrassskirt.com,"Two of this year's food and drink trends are housed under one roof. Good Time Poke offers a daytime menu of poke bowls featuring top quality seafood while The Grass Skirt focuses on well-crafted tiki cocktails and its own Asian-influenced food program, ranging from housemade pork belly buns to kimchi fried rice and Vietnamese noodle salad.",4.0,451,2,wrKg8zhFHW7M7LFvbGF-0w,32.795524597168,-117.252571105957
Shake Shack,675 Camino De La Reina,San Diego,CA,92108,,https://www.shakeshack.com/location/mission-valley-ca/,"The burger giant continues its San Diego expansion with its newest location in Mission Valley. Must eats include the 'Shroom Burger, which tops the burger patty with a crispy cheese-filled mushroom, and a frozen custard with mix-ins baked up by local dessert shops.",3.5,420,2,mMX0rOkGpDCCQct8yAR_ZA,32.7666491179614,-117.158511928813
Pop Pie,4404 Park Blvd,San Diego,CA,92116,,https://www.poppieco.com,"Folks are lining up for this new concept, which takes the classic pie into creative directions in both the sweet and savory realms. The on-trend quick-service eatery is also serving craft beer and coffee.",4.5,717,2,ZUZEfmc3cktZT9aV-AHYiw,32.7573953,-117.1464547
